sample,U1,U2,U3,V1,V2,V3
DINP_high_wk40_control_d2_A,-1.5223166658446285,-1.5222485247033315,-1.5224806840676721,-2.7347132382173402,-2.7168886036182833,-2.701675864252674
DINP_high_wk40_control_d2_B,-2.4551631034075503,-2.454957178242021,-2.455400795970555,-2.763844572292764,-2.7151836528080877,-2.779836311560663
DINP_high_wk40_control_d2_C,-0.30006749364515967,-0.29929240523258477,-0.30120987179014974,-0.5453024753866053,-0.49282321891007774,-0.5186443631876927
DINP_high_wk40_control_d2_D,-1.207927230993808,-1.2081227523399432,-1.2078293147211632,-2.7645679304657835,-2.712417046143578,-2.8162923403689035
DINP_high_wk40_control_d2_E,-1.451832581038761,-1.4519529764806505,-1.4517890777953542,-2.396010117075116,-2.322372663642322,-2.435446591476087
DINP_high_wk40_control_d2_F,-1.5681400775606178,-1.5682108409671072,-1.568205768662594,-2.639635524455573,-2.567590116742554,-2.6907450760730067
DINP_high_wk40_control_d2_G,-1.436852242906458,-1.437034260587727,-1.4368062537840551,-2.252602521105049,-2.3135375520824275,-2.2181084185081166
DINP_high_wk40_control_d7_A,-0.49736523846347963,-0.49740669894691447,-0.4975966676369589,0.8042510032562201,0.8219095808723268,0.7358632772422944
DINP_high_wk40_control_d7_B,-0.20481299658390972,-0.20423873862878758,-0.2058264376173129,-0.2790654387422035,-0.26384588343188875,-0.2691600096750646
DINP_high_wk40_control_d7_C,-0.6064704675442765,-0.6062940558595262,-0.6069073443840419,2.7065772348923267,2.711826467412496,2.6643819429875037
DINP_high_wk40_control_d7_D,-0.9481768023518073,-0.9479488327265954,-0.9486835389377604,-0.45376415325007613,-0.4312643963412711,-0.5068592215169984
DINP_high_wk40_control_d7_E,-0.8760216710833562,-0.8759056930670074,-0.8763556083351871,-0.7915152684227094,-0.771086193325634,-0.8403858179709405
DINP_high_wk40_control_d7_F,-1.0721863439130725,-1.0713325407096446,-1.0733459073909295,-0.5907589846267579,-0.5645700830295152,-0.6532820126833003
DINP_high_wk40_control_d7_G,-2.4311301234975793,-2.4322570501477365,-2.429664089699877,-0.5129801052040867,-0.50223809064698,-0.5047798998458592
DINP_high_wk40_dinp_d2_A,1.8060051591468496,1.805981995666007,1.8074693165841509,3.1109160180734,3.136995393648316,3.0147470845215936
DINP_high_wk40_dinp_d2_B,1.7974892897802184,1.7970642639316463,1.7989395903912264,0.9813933041444776,0.9874149142996025,0.9830551738524328
DINP_high_wk40_dinp_d2_C,0.6682550053092092,0.6682270983479902,0.6690881721738267,-2.7488449788268428,-2.739346527437813,-2.699653742575252
DINP_high_wk40_dinp_d2_D,2.129372320128469,2.129256071254527,2.1293627685540057,-1.017314053056041,-1.0098637635372922,-1.05383347422412
DINP_high_wk40_dinp_d2_E,2.6261640655859915,2.6258336982165367,2.6261614544789835,-2.7490774025115785,-2.739239480915719,-2.760806151971471
DINP_high_wk40_dinp_d2_F,1.0971787429866884,1.098045431532615,1.0960724446426193,-2.7452938275574565,-2.7154820115852605,-2.7701365682010155
DINP_high_wk40_dinp_d2_G,-0.656917681045875,-0.6583321434012862,-0.6550766786823381,-0.28412659882673014,-0.4330386639417978,-0.09573818694127118
DINP_high_wk40_dinp_d7_A,5.215171966076472,5.215285759203372,5.214627679247747,4.700802012915306,4.647139297525745,4.708622642120587
DINP_high_wk40_dinp_d7_B,0.4798873277310089,0.4787920278367277,0.48180723931252684,1.7207347935442856,1.6322625108131887,1.8370821818070144
DINP_high_wk40_dinp_d7_C,4.867442789259039,4.867322874443712,4.867135954552393,8.272771831171173,8.329730702638173,8.147326404261072
DINP_high_wk40_dinp_d7_D,-0.5990408497309889,-0.5993697008014707,-0.5983726717955229,-2.6964389981504553,-2.7520881885509705,-2.600688034910399
DINP_high_wk40_dinp_d7_E,0.4478339325028025,0.447587947444226,0.4485622390136938,-0.03308890959310215,-0.022807113483076225,-0.07290015157384243
DINP_high_wk40_dinp_d7_F,-1.1456448288562604,-1.1446763393265924,-1.1460122363804928,1.457986217588441,1.4766011453984864,1.4547701814755007
DINP_high_wk40_dinp_d7_G,0.27648928970117437,0.2764117031315572,0.2763666125631175,-0.3360146236477281,-0.5002352530233596,-0.09962311577112587
DINP_high_wk40_inoculum_d0_A,0.5446746048109711,0.5450079037406931,0.5438858831594757,0.4066086091791162,0.4335030488230375,0.4090479956955006
DINP_high_wk40_inoculum_d0_B,0.15761197144496994,0.15779417329179188,0.15708307891163903,5.04662617362684,4.965471404322633,5.139562062348729
DINP_high_wk40_inoculum_d0_D,-1.002874946147727,-1.0028615781676267,-1.0031079821890052,4.166308172327858,4.196196378327943,4.095230239584283
DINP_high_wk40_inoculum_d0_E,-0.5290889274555188,-0.5286882478980532,-0.5298789184737357,-1.4231096037146003,-1.4456540956858555,-1.4160070272081626
DINP_high_wk40_inoculum_d0_F,-1.8963627454911727,-1.8965392389956954,-1.8961237708818346,-0.8668742977153896,-0.8528206671245979,-0.8747300197815584
DINP_high_wk40_inoculum_d0_G,0.29481655309816873,0.29505884918891967,0.2941111856111673,0.2499682521245425,0.24534242192639147,0.18964321438102286
